# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"lisp"	"celat"
"list"	"mendengarkan"
"listless"	"lesu"
"lists"	"gelanggang pertandingan"
"literacy"	"kecakapan menulis & membaca"
"littoral"	"daerah pantai"
"liverish"	"penyakit liver"
"livery"	"penyakit liver"
"lizard"	"kadal,cecak"
"loadstone"	"=lodestone"
"loaf"	"loaves of bread,membuang waktu"
"loam"	"tanah subur"
"loath"	"segan,tdk sudi"
"loth"	"segan,tdk sudi"
"lobe"	"daun telinga"
"loch"	"danau,teluk"
"lock"	"rambut yg ikal"
"locust"	"belalang"
"literate"	"dpt menulis/membaca"
"lithe"	"badan lentur"
"litigate"	"membawa ke pengadilan"
"litigation"	"pendakwaan"
"litigious"	"suka berperkara"
"permutation"	"perubahan susunan,pertukaran"
"pernickety"	"rewel,tdk mudah dilayani,sangat teliti"
"peroration"	"penutup pidato"
"peroxide"	"peroksida"
"perpendicular"	"tegak lurus"
"perquisite"	"hadiah di luar gaji"
"persevere"	"bertekun"
"perspire"	"keringat"
"pert"	"kurang sopan,nakal"
"pertinent"	"sehub.dgn,termasuk,tepat"
"perturb"	"mengganggu,mencemaskan,menyusahkan"
"peruke"	"rambut palsu panjang"
"peruse"	"membaca dgn teliti"
"perusal"	"pembacaan dgn teliti"
"pestle"	"alu"
"petal"	"daun bunga"
"petrel"	"burung laut"
"petticoat"	"rok dlm wanita"
"pew"	"bangku gereja"
"pewter"	"campuran timah putih & timah hitam"
"phalanx"	"tentara Yunani berjajar utk perang"
"phantom"	"khayal"
"pheasant"	"ayam hutan berekor panjang"
"phial"	"botol obat kecil"
"philander"	"suka bermain api/cinta"
"philtre"	"guna2"
"phoenix"	"burung dlm dongeng"
"phoney"	"palsu,tdk sungguh2"
"phlegm"	"dahak,dingin hati"
"propitious"	"prospek baik"
"prophet"	"nabi,rasul,ramalan"
"prophetess"	"peramal wanita"
"prophecy"	"ramalan"
"prophylactic"	"pencegahan penyakit"
"propinquity"	"hubungan dekat"
"pro rata"	"sebanding,adil"
"propulsion"	"daya pendorong"
"proselyte"	"pindah agama/aliran/partai,murtad"
"prospectus"	"selebaran yg memberitahukan suatu perusahaan"
"prosper"	"makmur"
"protagonist"	"tokoh utama"
"pro tempore"	"utk saat ini saja"
"solicitor"	"pengacara"
"slostice"	"titik jarak matahari terjauh dr katulistiwa"
"solube"	"dpt larut"
"sombre"	"berwarna suram,redup"
"somersault"	"berjumpalitan"
"songster"	"penyanyi"
"sonnet"	"sajak 14 baris,tiap baris 10 kata,soneta"
"somnambulism"	"berjalan sambil tidur"
"somnolent"	"mengantuk"
"sonorous"	"nyaring,mengesankan"
"sonority"	"bunyi nyaring/merdu/mengesankan"
"soot"	"angus,jelaga"
"sooth"	"sesungguhnya"
"soothe"	"menenangkan,menyabarkan,meringankan"
"soothingly"	"dgn tenang"
"soothsayer"	"peramal"
"sophomore"	"mahasiswa thn ke-2 di AS"
"soporific"	"bahan yg menyebabkan tertidur"
"soppy"	"basah kuyup,mudah terharu"
"sorcerer"	"tukang sihir"
"sorceress"	"tukang sihir wanita"
"sorcery"	"ilmu sihir"
"sordid"	"kotor,miskin,keji,jahil,jorok"
"sorrow"	"duka cita,penyesalan"
"sortie"	"serangan singkat mendadak"
"sot"	"pemabuk"
"sough"	"mendesir"
"sought"	"=seek"
"soup"	"in the ~:dlm kesulitan"
"souse"	"menyiram dgn air,membuat acar"
"sow"	"menabur benih,babi betina"
"soya bean"	"kacang kedelai"
"spa"	"mata air panas yg mengandung belerang"
"spaniel"	"anjing berbulu panjang"
"spanner"	"kunci pas"
"spar"	"tiang kapal"
"sparrow"	"burung gereja/pipit"
"spat"	"=spit"
"spatial"	"ttg ruang angkasa"
"spatter"	"memercikkan"
"spate"	"meluap,banjir"
"spasm"	"kejang,sedih,,sakit"
"spasmodic"	"jarang terjadi,disebabkan oleh kekejangan"
"spartan"	"tabah,tdk peduli kesenangan/penderitaan"
"sparkle"	"berkelip2,berkilau,gemerlap"
"sparse"	"jarang,tersebar di mana2"
"sparsity"	"=sparse"
"spawn"	"telur katak/ikan,bahan jamur,bertelur"
"spear"	"tombak,lembing"
"specie"	"mata uang logam"
"specimen"	"contoh,model"
"specious"	"spt benar"
"speck"	"noda kecil,butir"
"specked"	"berbintik2"
"speckle"	"bintik hitam"
"speckled"	"berbintik2"
"spectre"	"hantu,momok"
"spectral"	"ttg hantu"
"sped"	"=speed"
"spell"	"mengeja,mangakibatkan,mantera,pesona,sihir"
"spellbound"	"terpesona"
"spell"	"wkt yg pendek"
"spent"	"letih"
"spendthrift"	"pemboros"
"sperm whale"	"ikan paus utk minyak"
"spew"	"muntah"
"spick"	"~ & span:bersih & rapi"
"sprig"	"ranting"
"sprightly"	"bersemangat"
"sprite"	"peri"
"spry"	"giat,lincah"
"spud"	"kentang"
"spue"	"muntah"
"spume"	"buih,busa"
"spun"	"=spin"
"spurious"	"palsu"
"spurn"	"menyepak,memandang rendah"
"squabble"	"bertengkar,cekcok"
"squad"	"pasukan"
"squadron"	"pasukan 100-200 org,kesatuan pesawat/kapal"
"squalid"	"kotor,terlantar,menyedihkan"
"squalor"	"kotoran,kead terlantar"
"squall"	"tangis bayi,jeritan,badai yg datang tiba2"
"squander"	"memboroskan uang/waktu"
"squaw"	"wanita istri Indian"
"squawk"	"bunyi ayam/itik"
"squeal"	"jerit/pekik krn sakit/takut"
"squib"	"petasan"
"squirrel"	"tupai"
"squirt"	"muncrat"
"stable"	"kandang kuda"
"stag"	"rusa jantan"
"staid"	"tenang & bersungguh2"
"squelch"	"bunyi spt kaki diangkat dr lumpur pekat"
"squire"	"tuan tanah,pembantu ksatria"
"squirm"	"menggeliat-geliut"
"staccato"	"dimainkan dgn putus2 tapi jelas"
"stanch"	"=staunch"
"stanchion"	"tiang penopang yg tegak lurus"
"stallion"	"kuda jantan"
"stamen"	"benang sari"
"starling"	"burung kecil"
"stank"	"=stink"
"stanza"	"bait"
"staple"	"kokoh,staples,hasil utama"
"starboard"	"sisi kanan kapal"
"stationery"	"penjual alat tulis"
"statue"	"patung"
"statuesque"	"spt patung"
"statuette"	"patung kecil"
"stature"	"perawakan tinggi"
"status quo"	"kead sbgmn spt skr/sebelumnya"
"statute"	"undang2"
"statutory"	"menurut hukum"
"steed"	"kuda"
"stellar"	"ttg bintang"
"stench"	"bau busuk"
"stenorian"	"(suara) keras & kuat"
"steppe"	"padang rumput di Rusia"
"stereotyped"	"itu2 juga,kalimat klise"
"stevedore"	"kuli pelabuhan"
"stiletto"	"belati kecil"
"stile"	"tumpuan kaki utk melintasi pagar"
"stimulant"	"perangsang"
"stink"	"bau busuk"
"stank"	"bau busuk"
"stunk"	"bau busuk"
"stipend"	"gaji"
"stipple"	"menggambar dgn titik2"
"stirrup"	"sanggurdi"
"stoat"	"cerpelai"
"stole"	"selendang,syal"
"stolid"	"pandai menutupi perasaan,sulit terharu"
"stomach"	"menahan,menerima saja"
"stool"	"bangku tanpa sandaran"
"stork"	"bangau"
"sotckade"	"benteng"
"stratagem"	"siasat"
"stratum"	"lapisan batu kerak bumi,lapisan masyarakat"
"street"	"not the same ~:tdk sebaik"
"strife"	"perselisihan"
"strident"	"nyaring,parau,melengking"
"stricture"	"kritik pedas"
"stripling"	"anak muda,taruna"
"strode"	"=stride"
"stroll"	"berjalan2"
"strove"	"=strive"
"struck"	"=strick"
"struggle"	"berjuang"
"strum"	"main musik asal saja"
"strung"	"=string"
"stubborn"	"keras kepala,ngotot"
"stuck"	"=stick"
"studious"	"suka belajar"
"suave"	"sopan & lembut tingkah laku/bahasa"
"subaltern"	"perwira di bawah kapten"
"stylus"	"jarum gramofon dari berlian/batu nilam"
"stung"	"=sting"
"stunk"	"=stink"
"stupor"	"1/2 pingsan krn terkejut/mabuk"
"sty"	"kandang babi,bintil di tepi pelupuk mata"
"stye(s)"	"bintil di tepi pelupuk mata"
"submergee"	"menyelam,tenggelam"
"subnormal"	"di bawah normal"
"suburb"	"daerah pinggiran kota"
"suction"	"daya isap"
"suds"	"busa sabun"
"suet"	"lemak ginjal biri2/lembu"
"sugar cane"	"tebu"
"suffrage"	"hak memilih"
"suffocate"	"mati lemas,tercekik"
"suffuse"	"meliputi (senja diliputi warna jingga)"
"suicide"	"bunuh diri"
"sullen"	"jengkel,kelam"
"sully"	"menodai nama baik"
"summit"	"puncak"
"trait"	"sifat,ciri2"
"traitor"	"pengkhianat"
"traitorous"	"berkhianat"
"traitress"	"pengkhianat wanita"
"trajectory"	"garis lengkung arah peluru"
"tram"	"trem"
"trance"	"kead kemasukan roh"
"transept"	"bagian gereja yg mrpk salib"
"transitive"	"pelengkap penderita"
"transitory"	"tdk kekal,sementara"
"translucent"	"jernih,terang"
"transpire"	"rahasia terbongkar"
"transverse"	"melintang"
"treadle"	"pedal"
"treason"	"pengkhianatan"
"treaty"	"persetujuan,perjanjian"
"trek"	"perjalanan jauh dgn gerobak"
"trellis"	"teralis"
"treacle"	"tetes"
"tray"	"baki"
"traverse"	"melintasi,menyeberangi"
"travail"	"kesulitan wkt melahirkan,kerja keras"
"trash"	"tdk bermutu,picisan"
"tremble"	"gemetar,menggigil,gentar"
"tremendous"	"hebat sekali"
"tremor"	"guncangan,getaran,debaran hati"
"tremulous"	"senewen"
"trench"	"parit"
"trenchant"	"jelas,tegas"
"trepidation"	"kegemparan"
"tress"	"ikal rambut,rambut panjang"
"trilateral"	"bersisi 3"
"trident"	"trisula"
"trill"	"getaran suara"
"trinity"	"tritunggal Allah"
"trinket"	"perhiasan kecil tdk berharga"
"triplet"	"kembar 3,3 serangkai"
"trisect"	"membagi mjd 3 bag yg sama"
"tripod"	"penopang (mis kamera) berkaki 3"
"trite"	"bukan hal baru,sudah biasa"
"trod"	"=tread"
"trodden"	"=tread"
"troupe"	"rombongan pemain sirkus/sandiwara"
"trout"	"ikan air tawar"
"troy"	"sistem timbangan Inggris utk emas/perak"
"truant"	"membolos"
"truckle"	"merendahkan diri,membungkuk2"
"troth"	"plight ... ~:berjanji akan kawin"
"troubadour"	"penyanyi keliling Prc/Itali abad 11-13"
"trounce"	"memukul2,mengalahkan"
"trough"	"palungan,cekung antara 2 ombak"
"trousseau"	"perlengkapan pengantin wanita"
"truce"	"gencatan senjata"
"truck"	"penukaran,sangkut paut"
"tundra"	"padang di kutub"
"tummy"	"perut"
"tunic"	"jas ketat gaya tentara"
"tuppence"	"mata uang Inggris"
"turban"	"ikat kepala"
"turbid"	"kental,berlumpur,keruh"
"turbot"	"ikan laut"
"turkey"	"kalkun"
"turmoil"	"kebisingan,kerusuhan,keributan,kekacauan"
"turnip"	"lobak"
"turpitude"	"kejailan,kejahatan,kekejian"
"tusk"	"taring,gading"
"turves"	"=turf"
"turtle"	"kura2,turn ~:berbalik"
"tumbler"	"gelas,akrobat"
"tuber"	"akar umbi,bonggol"
"unto"	"ke"
"labial"	"ttg bibir"
"labyrinth"	"rongga2"
"lac"	"uang India"
"lakh"	"uang India"
"lace"	"renda,tali sepatu"
"lacerate"	"mengoyak,menyayat,menyakiti hati"
"lachrymose"	"berlinang2,suka menangis"
"lack"	"kekurangan"
"lackadaisical"	"letih,lesu"
"lackey"	"kacung"
"lacquey"	"kacung"
"laconic"	"ringkas,pendek,ringkas"
"lacquer"	"pernis logam"
"lactic"	"ttg susu"
"lacy"	"ttg renda"
"lad"	"anak laki2"
"laddie"	"anak laki2"
"laden with"	"sarat dgn"
"lading"	"bill of ~:daftar muatan kapal"
"ladle"	"irus"
"lager"	"bir ringan"
"lair"	"tempat bersembunyi hewan buas"
"laird"	"tuan tanah Skotlandia"
"laity"	"kaum awam"
"lamb"	"biri2 muda"
"lame"	"pincang"
"lament"	"menyesal,meratap"
"laissez-faire"	"asas perdagangan bebas tanpa pengawasan pemerintah"
"lag"	"ketinggalan"
"laggard"	"org yg ketinggalan"
"ladyship"	"tuan puteri"
"ladylike"	"bersikap sopan spt puteri"
"lampoon"	"tulisan ejekan"
"lance"	"tombak,lembing,membedah dgn pisau bedah"
"lancer"	"prajurit berkuda dgn tombak"
"lance-corporal"	"kopral muda"
"lancet"	"pisau bedah berujung dua"
"lane"	"jln simpangan,lorong,jln kecil di luar kota"
"lantern"	"lentera"
"lantern jaws"	"rahang panjang & kurus"
"lanyard"	"tali (pendek) peluit/pisau"
"lank"	"panjang,lurus,kejur"
"land-worker"	"petani"
"land"	"native ~:tanah air"
"land-locked"	"hampir tertutup daratan"
"landlubber"	"org yg tdk biasa  di laut"
"landscape"	"pemandangan"
"landslide"	"tanah longsor"
"landmark"	"tonggak batas"
"labour"	"kesakitan wkt melahirkan,berusaha"
"labour under"	"mendpt kesulitan"
"labour the point"	"membicarakan panjang lebar"
"laboured"	"susah"
"laborious"	"rajin,melelahkan,dgn sungguh2"
"languid"	"lemas,tdk bertenaga"
"languish"	"mjd lemah,merana"
"languor"	"kelemahan,kekurangan tenaga"
"lap"	"pangkuan,membalut,meliput,melipat,putaran"
"lap-dog"	"anjing piaraan kecil"
"lap"	"menjilat2,bunyi pukulan ombak"
"lapel"	"kerah jas"
"larceny"	"pencurian"
"larch"	"pohon hijau muda dgn buah berbentuk kerucut"
"lard"	"lemak babi"
"larder"	"lemari makan"
"lark"	"burung kecil,kesenangan"
"larynx"	"panggal tenggorok"
"laryngitis"	"radang pangkal tenggorok"
"lascivious"	"bernafsu besar"
"lass"	"anak gadis"
"lassie"	"anak gadis"
"lassitude"	"keletihan,acuh tak acuh,tdk berminat"
"latent"	"bersifat tersembunyi"
"lateral"	"ttg,di,dr,ke sisi"
"lateral buds"	"tunas sisi"
"lathe"	"mesin bubut"
"lather"	"buih,keringat"
"latrine"	"kakus,jamban"
"latch"	"kunci,selot"
"latitude"	"grs lintang,keleluasaan"
"late"	"mendiang,baru2 ini"
"latish"	"agak lambat/siang"
"large"	"murah hati,at ~:bebas,by & ~:pd umumnya"
"lapse"	"kesalahan kecil,kemerosotan,kejatuhan,tdk berlaku-"
"lapse"	"lagi,,tergelincir"
"lash"	"mencambuk,memukul dgn keras,mencaci maki,bergerak"
"lasting"	"kekal"
"last"	"sepatu dr kayu,mengerjakan hanya bidangnya"
"lath"	"potongan kayu panjang & tipis"
"latter"	"yg kemudian/terakhir/kedua/belakangan,baru2 ini"
"lattice"	"teralis"
"laud"	"memuji"
"launch"	"kapal penumpang yg dijlnkan dgn uap/bensin/listrik"
"launder"	"mencuci & seterika pakaian"
"laudress"	"tukang cuci perempuan"
"laundry"	"tempat cuci pakaian,cucian"
"laundryman"	"binatu"
"launderette"	"mesin cuci dgn koin"
"laundromat"	"mesin cuci dgn koin"
"laureate"	"yg ditunjuk"
"laurel"	"kemenangan,pohon salam"
"lavatory"	"WC"
"lavender"	"tanaman berbunga ungu berbau wangi"
"lavish"	"mencurahkan,menghamburkan,berlimpah2"
"lawn"	"lapangan rumput,kain linen yg halus"
"lawnmower"	"mesin pemotong rumput"
"laxative"	"obat cuci perut"
"lax"	"teledor,kendur,santai"
"laxity"	"=lax"
"layer"	"lapisan"
"layman"	"org awam"
"layette"	"pakaian utk bayi yg baru lahir"
"lazybones"	"pemalas"
"lea"	"padang rumput"
"league"	"3 mil"
"lay about one"	"menerjang ke segala arah"
"lay up"	"menimbun"
"lay-by"	"tempat parkir di pinggir jln tol"
"lay"	"memasang,menaruh,membaringkan,syair utk nyanyian"
"lay"	"ttg org awam/kebanyakan"
"lead"	"timah hitam,batu duga kedlman laut,arang isi pensi"
"lead"	"l,memimpin,membina"
"leaden"	"ttg timah hitam"
"leaf"	"daun,lembaran hidup baru,bag meja yg dpt dilipat"
"leaf"	"gold ~:emas kertas"
"leaflet"	"pucuk daun muda,surat edaran"
"leafy"	"rindang"
"leak"	"bocor,tiris"
"leakage"	"kebocoran"
"lean(er,est)"	"kurus,gagal,sedikit"
"lean"	"bersandar,menjenguk,condong,cenderung,bergantung"
"leap"	"lompatan,kabisat,~frog:permainan lompat2an"
"lease"	"persetujuan sewa tanah,kehidupan baru yg lebih ba-"
"lease"	"ik,~hold:disewa  utk bbrp wkt"
"leash"	"rantai anjing,hold in ~:mengekang"
"leather"	"kulit"
"leavings"	"sisa2"
"leave"	"cuti,izin,pamit,take ~ of .. sense:berlaku spt org"
"leave"	"gila"
"leaven"	"ragi,pengaruh yg meluas"
"lectern"	"meja utk meletakkan Injil"
"lecture"	"kuliah,menegur"
"lectureship"	"jabatan dosen/lektor"
"ledge"	"tebing,pinggiran yg sempit(bingkai)"
"ledger"	"pembukuan"
"leek"	"bawang perai"
"lees"	"ampas,endapan"
"leer"	"menyeringai"
"legate"	"duta Vatikan"
"legation"	"kedutaan di bawah kedutaan besar"
"legacy"	"warisan,pusaka"
"leech"	"lintah,sulit dibuang/dihilangkan"
"jabber"	"mengoceh"
"jack"	"dongkrak,bendera kapal"
"jackass"	"keledai jantan,org dungu"
"jack-of-all-trades"	"org yg tahu serba sedikit"
"jam"	"menjepit,macet,menjejalkan"
"jar"	"sumbang,guncang,perselisihan"
"jar"	"botol bermulut lebar dr tanah liat"
"jaundice"	"sakit kuning,dengki"
"jaunty"	"percaya/puas pd diri sendiri"
"jaw"	"rahang,jln masuk ke lembah,menegur"
"jaw"	"ceramah membosankan mengenai moral"
"jerk"	"menyentakkan,merenggut"
"jerry-built"	"gedung yg buruk mutu & bahannya"
"jest"	"senda gurau"
"jet"	"barang tambang hitam utk kancing/perhiasan"
"jetsam"	"barang yg dibuang di kapal utk meringankan"
"jettison"	"=jetsam"
"jewel"	"sesuatu yg sangat berharga"
"jig"	"dansa lincah"
"jigsaw"	"=fretsaw"
"jigsaw-puzzle"	"menyusun potongan gambar"
"justify"	"membenarkan,mempertahankan,alasan"
"just"	"adil"
"justice"	"keadilan"
"jumpy"	"senewen"
"jilt"	"wanita yg menolak cinta seorg laki2"
"jingle"	"gemerincing,urutan kata yg sama bunyinya"
"jingoist"	"org yg mendukung peperangan"
"jingoistic"	"suka perang"
"jinks"	"senang2 dgn ribut (lupa daratan)"
"jobbing"	"makelar,org yg kerja utk bbrp org"
"jog"	"mengguncang,bersinggungan,menyentuh"
"jogtrot"	"cara berjalan perlahan & teratur"
"joint"	"sambungan,ruas,potongan daging dgn tulangnya"
"lee"	"tempat yg terlindung dr angin"
"leeway"	"hanyut ke arah angin,mengejar ketinggalan wkt"
"leeway"	"kembali ke tempat semula"
"leg up"	"menolong"
"leg"	"landasan,last ~s:sudah tdk berguna lagi,ajal"
"leggings"	"kulit penutup kaki"
"legible"	"tulisan yg jelas"
"legibility"	"keterbacaan"
"legion"	"legiun,pasukan dlm jml bsr"
"legislate"	"pembuat undang2"
"legitimate"	"sah menurut hukum"
"leissure"	"wkt luang,tdk tergesa2"
"lend"	"meminjamkan,menyokong"
"lengthwise"	"memanjang,membujur"
"lengthways"	"memanjang,membujur"
"lenient"	"lunak,sabar,ringan"
"leper"	"org kusta"
"leprosy"	"kusta"
"leprous"	"ttg kusta"
"lessee"	"penyewa tanah/gedung utk wkt tertentu"
"lessor"	"org yg menyewakan gedung/tanahnya"
"let down"	"mengecewakan"
"let out"	"membiarkan,membuka,melebarkan"
"let in"	"melibatkan"
"let off"	"menembakkan"
"let alone"	"jangankkan,apalagi"
"let fly at"	"mencaci maki"
"lethal"	"mematikan"
"lethargy"	"lesu,capai"
"macabre"	"mengerikan,membayangkan kematian"
"macadam road"	"jln yg dilapisi batu"
"mace"	"tongkat yg dibawa sbg tanda jabatan"
"machination"	"persekongkolan jahat"
"mackerel"	"ikan laut kecil bergaris2 dimakan org"
"mackintosh"	"jas hujan"
"madden"	"memarahkan,menjengkelkan"
"madcap"	"gegabah"
"mademoiselle"	"nona"
"madonna"	"gambar/patung Maria"
"lusty"	"sehat,kuat"
"lute"	"kecapi"
"lush"	"subur,rimbun"
"lurk"	"mengintai siap menerkam"
"lunatic"	"org gila"
"lunacy"	"kegilaan"
"luncheon"	"hidangan makan siang"
"lung"	"paru2"
"lunge"	"menerjang"
"lumbago"	"sakit pinggang"
"luminous"	"bercahaya,terang"
"luminousity"	"kilau"
"lucerne"	"tumbuhan utk makanan ternak"
"lucrative"	"menguntungkan"
"lugger"	"kapal layar"
"lugubrious"	"suram,menyedihkan"
"lowly"	"hina"
"lozenge"	"bentuk belah ketupat,obat batuk"
"lubricate"	"melumasi"
"lubricant"	"minyak pelumas"
"lucid"	"terang,jelas"
"lynch"	"membunuh beramai2 tanpa mengadili dulu"
"lyre"	"semacam kecapi berbentuk U"
"lynx"	"semacam harimau dgn mata tajam"
"lynx-eyed"	"bermata tajam"
"lyrical"	"penuh perasaan,bersemangat"
"ludicrous"	"menggelikan,menertawakan"
"lug"	"menyeret"
"lukewarm"	"suam2 kuku,tdk menentang/setuju"
"pyre"	"tumpukan kayu utk membakar mayat"
"pylon"	"tiang kawat listrik"
"puzzle"	"teka-teki"
"putty"	"dempul"
"puttee"	"kain pembalut betis"
"pus"	"nanah"
"purview"	"lingkungan kegiatan,luasnya"
"purulent"	"bernanah"
"pungent"	"tajam,menusuk,keras,pedas"
"pumpkin"	"labu kuning"
"pump"	"sepatu ringan gilap utk menari"
"pugilist"	"petinju"
"pugilism"	"hal bertinju"
"puffin"	"burung laut Atlantik Utara yg berparuh besar"
"puerile"	"hanya pantas utk anak kecil"
"puberty"	"puber"
"psalm"	"Mazmur"
"pseudo-"	"palsu"
"pshaw"	"cis! bah!"
"pub"	"tempat utk minum2"
"ptomaine"	"racun dlm makanan busuk"
"puddle"	"kubangan air di jln setelah hujan"
"pucker"	"mengerutkan"
"pullet"	"ayam muda"
"pulpit"	"mimbar gereja"
"pumice"	"batu apung"
"pummel"	"meninju"
"pundit"	"cendekiawan"
"puny"	"kecil & lemah"
"pup"	"=puppy"
"pupa"	"kepompong"
"pupil"	"murid,biji mata"
"puppy"	"anak muda yg congkak"
"purdah"	"cadar"
"purloin"	"mencuri"
"purlieus"	"daerah pinggiran kota"
"purr"	"mendengkur"
"purser"	"perwira kapal yg memegang kekuasaan"
"meretricious"	"kelihatan indah tapi tdk ada harganya"
"mere"	"tdk lebih (dari),hanya"
"meringue"	"kue dr putih telur & gula"
"brick"	"batubata"
"dab"	"menguaskan cat"
"dabble"	"berkecimpung,menepuk2 air"
"daddy-long-legs"	"ayak2"
"daffodil"	"bunga kuning daun kecil,leli"
"dagger"	"pisau belati,golok"
"dais"	"mimbar,panggung kecil"
"daisy"	"bunga berwarna kuning tengahnya putih tumbuh liar"
"dale"	"lembah"
"dally"	"membuang wkt,bermain gila"
"dalliance"	"=dally"
"cypher"	"=chiper"
"cypress"	"pohon cemara daun hijau tua kayu keras"
"cynosure"	"pusat perhatian"
"cymbal"	"alat musik sepasang piring logam"
"cyclone"	"angin pusar"
"cyclopedia"	"=encyclopedia"
"cutlet"	"potongan daging ikan yg tebal"
"cute"	"cerdik,manis,tangkas"
"cuticle"	"kulit ari"
"curio"	"karya seni jarang yg mahal"
"curfew"	"bunyi sirene"
"dastard"	"pengecut yg kejam,penggertak"
"damsel"	"gadis"
"damson"	"pohon berbuah ungu tua"
"dandle"	"menimang anak"
"dealt"	"=deal"
"dative"	"kasus ke-3"
"deprecate"	"memprotes,mencela"
"deodorize"	"menghilangkan bau busuk"
"evanescent"	"cepat berlalu dr ingatan"
"eucaliptus"	"pohon kayu putih"
"euphony"	"bunyi merdu"
"ewe"	"biri2 betina"
"ewer"	"guci"
"evolve"	"mengembangkan"
"evoke"	"membangkitkan,menimbulkan"
"evince"	"memperlihatkan,menunjukkan"
"evil"	"jahat"
"evidence"	"bukti,keterangan,kesaksian"
"evidence"	"in ~:mudah kelihatan"
"evident"	"jelas,terang,nyata"
"evidently"	"rupanya,ternyata,terbukti"
"evict"	"mengusir"
"exactitude"	"tepat benar"
"exact"	"menagih,menuntut,memeras"
"exaggerate"	"membesar2kan,melebih2kan"
"exalt"	"meninggikan derajat,menyanjung"
"exaltation"	"kegembiraan yg meluap2"
"excavate"	"menggali,mengeluarkan"
"exceed"	"melampaui"
"exceedings"	"sangat"
"exasperate"	"menjengkelkan,geram"
"golosh"	"=galosh"
"gown"	"gaun,toga,jubah"
"gorse"	"=furze"
"granary"	"lumbung padi"
"grape"	"anggur"
"granny"	"nenek"
"grange"	"rumah besar di luar kota utk peternakan"
"grandiose"	"besar2an,mengagumkan"
"grandee"	"bangsawan Spanyol/Portugis"
"grapefruit"	"jeruk besar rasa masam"
"grateful"	"berterima kasih,bersyukur"
"grating"	"jeruji besi yg dipasang pd lubang"
"gratify"	"memuaskan,menyenangkan,memenuhi"
"gratitute"	"perasaan bersyukur"
"grafy"	"kuah daging"
"graven"	"terukir"
"gravel"	"kerikil"
"graze"	"menggiring hewan utk makan rumput,menyerempet"
"grid"	"jaringan listrik,petak2 pd peta"
"grille"	"teralis"
"grime"	"daki"
"grin"	"senyum lebar"
"gristle"	"tulang rawan"
"grizzled"	"beruban"
"grizzly"	"beruang besar ganas di Amerika Utara"
"grog"	"minuman keras yg dicampur dgn air"
"groin"	"celah kangkang"
"grope"	"meraba2 mencari sesuatu"
"griffin"	"makhluk dongeng kepala & sayap elang badan singa"
"griffon"	"=griffin"
"gryphone"	"=griffin"
"greed"	"keserakahan,tamak"
"greatcoat"	"jaket tebal"
"grease"	"lemak,minyak gemuk,menyogok"
"greasy"	"licin,berminyak"
"greenery"	"tanaman hijau"
"greenfly"	"serangga kecil hijau merusak tanaman"
"greengrocer"	"penjual sayur"
"greenhorn"	"org yg belum berpengalaman"
"gregarious"	"hidup berkelompok"
"grief"	"duka cita,mencelakakan"
"grieve"	"menyedihkan"
"grievous"	"=grief"
"grievance"	"menyebabkan kecil hati/susah"
"grasshoper"	"belalang"
"gyrate"	"berputar2"
"gyration"	"putaran,kisaran"
"gymkhana"	"peragaan/pertandingan olah raga"
"guy"	"tali penarik"
"guzzle"	"makan minum dgn rakus"
"guttural"	"bunyi dr tenggorokan"
"gutter"	"parit,lilin berkelip2"
"gusto"	"kesukaan melakukan sesuatu,semangat"
"gunwale"	"sisi perahu,tepi atas kapal"
"gurgle"	"mengeluarkan bunyi spt menggelembung"
"gull"	"camar,menipu"
"gullible"	"mudah ditipu"
"gullet"	"kerongkongan,tenggorokan"
"gully"	"parit,jurang sempit"
"gulp"	"teguk,menelan dgn cepat"
"gum"	"gusi,getah,merekatkan"
"gumboil"	"gusi bengkak"
"gust"	"tiupan angin,curahan hujan lebat,luapan perasaan"
"gusty"	"berangin"
"haberdasher"	"pedagang kelontong"
"haberdashery"	"barang kelontong"
"guano"	"kotoran burung laut utk pupuk"
"grumpy"	"pemarah"
"gruff"	"kasar"
"grunt"	"mengomel,bersungut2"
"guardian"	"wali"
"guardianship"	"perwalian"
"growl"	"bunyi anjing menggeram"
"grove"	"kelompok pohon,hutan kecil"
"grovel"	"bersembah sujud,menghinakan diri"
"grouse"	"burung belibis,menggerutu,bersungut2"
"gumboot"	"sepatu bot tinggi dr karet"
"gummy"	"lengket,lekat"
"guerrilla"	"gerilya"
"guffaw"	"tergelak2"
"guile"	"tiupan,kelicikan"
"guileless"	"jujur,terus terang"
"guinea-pig"	"marmoot,kelinci percobaan"
"guinea"	"mata uang Inggris 105 pence"
"gulf"	"teluk,jurang pemisah"
"gunboat"	"kapal perang"
"gun-carriage"	"kereta meriam"
"gun-cotton"	"bahan peledak dr kapas"
"gun-metal"	"campuran tembaga & timah"
"gunner"	"penembak meriam"
"gunpowder"	"bubuk mesiu"
"gunshot"	"jarak tembakan"
