# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"mane"	"rambut kuda/singa"
"manganese"	"mangan,batu kawi"
"mange"	"kurap"
"mangy"	"berkudis"
"manger"	"palungan"
"mangle"	"alat pemeras cucian,memotong2,merobek2"
"manicure"	"merawat tangan & kuku"
"manifold"	"berlipat ganda,banyak & bermacam2"
"manila"	"rami"
"manifest"	"nyata,daftar muatan kapal,wujud"
"manifesto"	"pernyataan prinsip seorg pemimpin pd umum"
"mannequin"	"peragawati"
"manor"	"tanah milik bangsawan"
"manorial"	"ttg  tanah milik bangsawan"
"manse"	"rumah pendeta grj Presbitaria"
"mansion"	"rumah besar & indah"
"mantelpiece"	"rak di atas perapian"
"mantis"	"belalang besar"
"mantle"	"mantel,selubung"
"manure"	"pupuk,baja"
"manuscipt"	"naskah"
"map out"	"merancang,menyusun,mengatur"
"maple"	"kayu pohon"
"mar"	"merusak"
"marauder"	"perampok"
"marble"	"marmer,kelereng"
"march"	"berbaris,~ of events:berlalunya peristiwa2"
"marchioness"	"istri/janda bangsawan inggris"
"mare"	"kuda betina"
"mare's nest"	"penemuan yg ternyata tdk ada gunanya"
"marguerite"	"bunga margrit"
"marine"	"berkenaan dgn laut"
"mariner"	"pelaut"
"marionette"	"boneka yg digerakkan dgn tali kecil"
"marital"	"ttg suami/istri"
"maritime province"	"daerah pesisir"
"marmalade"	"sele jeruk manis"
"maroon"	"warna merah hati ayam"
"maroon"	"kembang api utk isyarat"
"maroon"	"meninggalkan org di pulau tak berpenghuni"
"marquee"	"rumah besar"
"marquis"	"gelar bangsawan di bawah pangeran"
"marquess"	"gelar bangsawan di bawah pangeran"
"marrow"	"sumsum,vegetable ~:labu"
"marsh"	"rawa"
"marshal"	"perwira tinggi,memimpin"
"marsupial"	"ttg hewan berkantung"
"martial"	"ttg perang/perjuangan"
"martin"	"burung layang2"
"martinet"	"org yg berpegang teguh pd tata tertib"
"martyrdom"	"mati sbg martir"
"mass"	"misa"
"massacre"	"pembunuhan masal"
"masseur"	"ahli pijit"
"masseuse"	"ahli pijit"
"mast"	"tiang"
"masticate"	"mengunyah"
"mat"	"keset,tikar,kusam"
"matted"	"(rambut) kusut"
"matchwood"	"potongan kayu kecil2"
"matinee"	"pertunjukan siang hari"
"matins"	"sembayang pagi"
"matriarch"	"wanita yg mjd kepala keluarga/suku"
"matricide"	"pembunuhan ibu kandung"
"matrimony"	"perkawinan"
"matt"	"keset,tikar,kusam"
"matting"	"tikar"
"mattock"	"cangkul yg runcing"
"mattress"	"kasur;spring~:kasur pegas"
"maudlin"	"mudah terharu"
"maul"	"merusak"
"mausoleum"	"makam yg indah & besar"
"mauve"	"ungu muda"
"maw"	"perut binatang"
"mawkish"	"mudah terharu,manis & memualkan"
"maxim"	"pepatah"
"maypole"	"tiang berhias bunga dgn org dansa tgl 1 Mei"
"mayonnaise"	"kuah selada terbuat dr telur,minyak,& cuka"
"mead"	"padang rumput"
"meadow"	"padang rumput"
"meagre"	"kurus,tdk cukup"
"meal"	"santapan,tepung kasar"
"mealy"	"bertepung"
"oatmeal"	"tepung havermot"
"measles"	"campak"
"measly"	"bermutu rendah"
"meed"	"sbgn dr pujian/celaan (pd sajak)"
"medley"	"campuran dr berbagai barang,warna,bunyi dsb"
"melee"	"huruhara"
"mellifluous"	"merdu"
"memento"	"peringatan akan seseorg"
"memoir"	"riwayat hidup"
"menace"	"ancaman,bahaya"
"menial"	"patut dikerjakan oleh pembantu/bujang"
"mansuration"	"rumus matematika utk menghitung isi,luas dll"
"mention"	"menyebutkan"
"mentor"	"penasehat"
"mien"	"sikap/penampilan seseorg"
"milch"	"memberi susu"
"milchcow"	"sapi perah"
"mildew"	"jamur"
"militate"	"bertentangan"
"militia"	"pasukan sipil yg dilatih militer"
"mews"	"deretan kandang kuda/kereta"
"meticulous"	"sangat teliti"
"mete out"	"memberi hadian/ganjaran/hukuman"
"mermaid"	"ikan duyung perempuan"
"merman"	"ikan duyung laki2"
"millennium"	"1000 thn"
"milet"	"juwawut"
"mime"	"pantomim"
"mimosa"	"tanaman berbunga kuning"
"minaret"	"menara masjid"
"minion"	"budak"
"minnow"	"ikan air tawar kecil"
"minster"	"gereja besar (ada biaranya)"
"minutebook"	"buku notes"
"minx"	"gadis kurang ajar"
"miraculous"	"ajaib"
"mire"	"tanah basah,lumpur"
"mirth"	"gembira"
"misadventure"	"bencana"
"mortice"	"tanggam"
"mortise"	"tanggam"
"morrow"	"esok hari"
"mordant"	"tajam,pedas"
"moor"	"padang,tegalan,menambatkan"
"moorings"	"tali utk menambatkan,tempat berlabuh"
